component_id,alpha,delta,lcm,component_schedulable
Camera_Sensor,0,400,6,000,50,1,000
Image_Processor,0,182,9,000,50,1,000
Bitmap_Processor,0,300,7,000,50,1,000
Lidar_Sensor,0,333,10,000,200,1,000
Control_Unit,0,364,7,000,600,1,000
GPS_Sensor,0,154,11,000,150,1,000
Communication_Unit,0,231,10,000,300,1,000
Proximity_Sensor,0,200,4,000,100,1,000
Radar_Sensor,0,600,2,000,200,0,000
Sonar_Sensor,0,263,14,000,300,0,000
Laser_Sensor,0,444,5,000,300,1,000
Infrared_Sensor,0,333,4,000,100,1,000
Ultraviolet_Sensor,0,250,9,000,2400,1,000
Thermal_Sensor,0,500,1,000,3000,1,000
Pressure_Sensor,0,125,7,000,150,1,000
Humidity_Sensor,0,667,1,000,8,1,000
Temperature_Sensor,0,625,12,000,600,0,000
Light_Sensor,0,217,18,000,300,0,000
Sound_Sensor,0,378,23,000,600,1,000
Vibration_Sensor,0,125,7,000,300,1,000
Motion_Sensor,0,279,44,000,600,0,000
Acceleration_Sensor,0,313,11,000,300,0,000
Gyroscope_Sensor,0,333,6,000,600,1,000
Magnetometer_Sensor,0,143,6,000,60,1,000
Compass_Sensor,0,167,10,000,1200,1,000
Altimeter_Sensor,0,111,8,000,6000,1,000
Barometer_Sensor,0,556,4,000,100,0,000
Hygrometer_Sensor,0,261,17,000,150,0,000
Anemometer_Sensor,0,500,1,000,300,1,000
Rain_Gauge_Sensor,0,500,8,000,300,1,000
Snow_Gauge_Sensor,0,231,10,000,1200,1,000
Thermometer_Sensor,0,500,6,000,300,1,000
Pyrometer_Sensor,0,111,8,000,600,1,000
Photometer_Sensor,0,600,6,000,50,1,000
