task_name,component_id,task_schedulable,avg_response_time,max_response_time,component_schedulable
Task_0,Camera_Sensor,1,0,00,0,00,1
Task_1,Camera_Sensor,1,0,00,0,00,1
Task_2,Camera_Sensor,1,0,00,0,00,1
Task_3,Camera_Sensor,1,0,00,0,00,1
Task_4,Camera_Sensor,1,0,00,0,00,1
Task_5,Image_Processor,1,0,00,0,00,1
Task_6,Image_Processor,1,0,00,0,00,1
Task_7,Image_Processor,1,0,00,0,00,1
Task_8,Lidar_Sensor,1,0,00,0,00,1
Task_9,Lidar_Sensor,1,0,00,0,00,1
Task_10,Lidar_Sensor,1,0,00,0,00,1
Task_11,Lidar_Sensor,1,0,00,0,00,1
Task_12,Control_Unit,1,4,84,4,84,1
Task_13,Control_Unit,1,0,00,0,00,1
Task_14,Control_Unit,1,0,00,0,00,1
Task_15,Control_Unit,1,0,00,0,00,1
Task_16,Control_Unit,1,0,00,0,00,1
Task_17,Control_Unit,1,0,00,0,00,1
